# wave A(l)/A(V) unc
9.21105e-01 4.77461e-01 2.38730e-02
9.25392e-01 4.73046e-01 2.36523e-02
9.29699e-01 4.68661e-01 2.34331e-02
9.34026e-01 4.64310e-01 2.32155e-02
9.38373e-01 4.59993e-01 2.29996e-02
9.42740e-01 4.55712e-01 2.27856e-02
9.47128e-01 4.51468e-01 2.25734e-02
9.51536e-01 4.47261e-01 2.23630e-02
9.55964e-01 4.43090e-01 2.21545e-02
9.60414e-01 4.38967e-01 2.19483e-02
9.64884e-01 4.34883e-01 2.17442e-02
9.69374e-01 4.30843e-01 2.15422e-02
9.73886e-01 4.26850e-01 2.13425e-02
9.78419e-01 4.22901e-01 2.11451e-02
9.82972e-01 4.18995e-01 2.09498e-02
9.87547e-01 4.15136e-01 2.07568e-02
9.92143e-01 4.11317e-01 2.05659e-02
9.96761e-01 4.07545e-01 2.03772e-02
1.00140e+00 4.03813e-01 2.01907e-02
1.00606e+00 4.00128e-01 2.00064e-02
1.01074e+00 3.96486e-01 1.98243e-02
1.01545e+00 3.92885e-01 1.96443e-02
1.02017e+00 3.89331e-01 1.94665e-02
1.02492e+00 3.85816e-01 1.92908e-02
1.02969e+00 3.82345e-01 1.91173e-02
1.03448e+00 3.78918e-01 1.89459e-02
1.03930e+00 3.75531e-01 1.87765e-02
1.04414e+00 3.72187e-01 1.86094e-02
1.04900e+00 3.68884e-01 1.84442e-02
1.05388e+00 3.65620e-01 1.82810e-02
1.05878e+00 3.62401e-01 1.81200e-02
1.06371e+00 3.59218e-01 1.79609e-02
1.06866e+00 3.56078e-01 1.78039e-02
1.07363e+00 3.52975e-01 1.76488e-02
1.07863e+00 3.49913e-01 1.74956e-02
1.08365e+00 3.46890e-01 1.73445e-02
1.08869e+00 3.43902e-01 1.71951e-02
1.09376e+00 3.40956e-01 1.70478e-02
1.09885e+00 3.38044e-01 1.69022e-02
1.10397e+00 3.35169e-01 1.67585e-02
1.10910e+00 3.32330e-01 1.66165e-02
1.11427e+00 3.29527e-01 1.64763e-02
1.11945e+00 3.26757e-01 1.63379e-02
1.12466e+00 3.24022e-01 1.62011e-02
